label,text
Supply,"Hello!

I am looking for somebody who can sublease my room at The Grad in San Jose. The sublease is from June 1st-July 31st 2024, so it will be perfect for those looking for a short term stay for an internship or any other short business you may have near San Jose State University (2 blocks away from the west side entrance of the campus).

The unit has 3 bedrooms and 3 bathrooms on the 16th floor and fully furnished – I currently live with 2 other female roommates. You will have your OWN bedroom and bath with a shared living room/kitchen. The rent is $1587 – includes utilities (water, sewer, trash). You may need to get your own renter’s insurance. It's a pet friendly building (additional fee for each pet, on top of rent) .

Please contact me if you have any questions :) 

Amenities:
* Yoga room
* Fitness center/Gym
* Computer Lab
* Study rooms
* Pool
* Jumbotron
* Grills
* Multi-purpose room
* Wireless
* In-unit washer/dryer
* Parking Garage (additional fee, on top of rent)

FAQ’s: [https://thegradsanjose.com/faq](https://thegradsanjose.com/faq/)"
Demand,"Hi everyone! Looking for a 2-person or 4-person sublet over the summer between the rough dates of May 20th and Aug 20th. My friends and I are interning over the summer in the area and are looking for a place to stay, please reach out!"
Demand,"Hi everyone!
My name is Apeksha Gaonkar. I am a college student studying at UCSD in San Diego. I will be in Santa Clara this summer for an internship, and I am looking for summer sublet starting 20th of June till 22nd of September. Please let me know if you have any options."
Demand,I'm looking for a short term lease (Beg June - End of August) for a private room. Please message me if you would like to lease out or have any leads. Thank you!
Supply,"Hi everyone! Looking for a female roommate to share a room in a 2b 1ba home. Room is available April 1. Home is located in Downtown SJ, it is an about a 7 min walk and 2 min drive. If you’re interested and would like to see pictures of the room and the home feel free to message me!😊

- Rent $675 
- Deposit $675 
- Internet $28"
Supply,"Looking for a roommate to share a bedroom with me from 1st March 2024 here at “The Julian” near the lively San Pedro St. 

This one is a 2B1B apartment, wherein 1 bedroom is occupied by my housemate & you will be sharing the other bedroom with me for $725/month 

Rent: $2901/month ($1,450/bedroom) 

Address: 171 W Julian Street, San Jose, CA 95110

The apartment has an in-unit washer and dryer. Smart thermostat & door locking system. The community has a beautiful rooftop terrace with a fire pit. Moreover, there are study lounges, a swimming pool, hot tub, dog park, leisure space, parcel pending lockers, basement parking & so on. The Julian is located near the lively San Pedro street & it is also close to SJSU, Northeastern University, & San Jose Airport. 

Companies like Zoom, Adobe, Deloitte, PG&E, etc are in close proximity. 

Feel free to comment or send a message if you are interested!

Thank you!

#sanjose #apartment #apartmentsinsanjose #thejulianapartments"
Supply,"IM RENTING ROOMS IN SOUTH SIDE SAN JOSE  
Available April 1st  
I am renting out 3 bedrooms and 1 bathroom to a Family or a group of people. (Not Renting it out Individually)  
Rent is for 3 rooms is $3,700 + utilities Deposit is $3,700  

ABOUT THE ROOMS: 
- 2 Rooms: Size 10x10 
- 1 Room: 13x15 
- Shared Bathroom amongst each other 
- Access to brand New Washer / Dryer on site 
- Internet included 
- Full use of the kitchen  

ABOUT THE HOUSE: 
- Corner house so there's plenty of parking space 
- Right next to 101 Freeway so you'll have quick access  
NO PETS."
Supply,"Price update! Available! (March 1st)
$1200 for 1 bedroom (Utilities and internet already included)
2 Bedroom 1 Bathroom Rental - South San Jose

Looking for young professionals to rent.
I have a 2 story house with 1 room and 1 shared bath available with a separate entrance and kitchen. Kitchen includes a sink, microwave, and refrigerator. Bedroom has a front street view. No washer and dryer. Rooms are ready to move in for stable, progressive professionals. Plenty of street parking.

As follows:
* Separate private entrance
* Electric & Gas included
* Garbage included
* Water included
* Xfinity WiFi Internet included
* Right next to Oak Grove High School
* Quiet residential area 1 block away from an elementary school.
* 5 Minutes away from Target, Oakridge, Safeway, Lucky’s, CVS
* 5 Min. access to 101, 85, 87
* 7 to 10 Minutes away from Google Silver Creek Sportsplex Shuttle
* 10 minutes away from Walmart shuttle
* No Pets
* No smoking inside the house
* No washer and dryer access

If interested, just message me, and we can set up some viewing time."
Demand,"Hi me and my roommate lease ends this weeks so would like to finds a place asap. We would prefer to share a room and budget is under 1600. We are open to san jose, sunnyvale, and santa clara area. We are clean and friendly and don't mind pets"
Unknown,
Supply,"🏠 Permanent 1 Spot available in 2 sharing Master Bedroom at 360 Residences, Downtown San Jose.

💵 Rent: $710 per person in the Master Bedroom.
🚪 Room Features: Master Bedroom in a 2B2B apartment with a walk-in closet.

🚶‍♂️ Location Advantage: Just a 10-minute walk to SJSU, with a VTA bus stop right opposite the apartment.

📅 Availability: Starting the first week of March 2024.

🏢 Amenities: In-unit washer and dryer, gym 🏋️‍♂️, and pool 🏊‍♂️ access.

📍 Address: 360 S Market St, San Jose, CA 95113

📩 Contact for More Info:

Vinay: +1 408-791-7294
Javeed: +1 408-791-7122

For more information about the flat, click on the document below:

https://docs.google.com/document/d/1DzGNtROelKft5vBI-MkHITeN0uWXOaceez5ojc99UUE/edit"
Supply,"[Room for rent in a safe, quiet and convenient location]

Greetings,

We have an unfurnished bedrooms available in a 4-bedroom single family house located in a safe and quite cul-de-sac in South San Jose 95123.

The rent is $1,150 per month (utilities are included). This room is for single occupancy only. You will share a spacious living room and a bathroom with ONLY one other roommate. We do not use these spaces. 

Cooking is allowed and shared with us. Dryer/Washer are available. Pets, smoking and drugs are not allowed. Deposit is one month rent. The house has high-speed fiber internet (300 mbps). 

The house is conveniently located: 15 minutes to SJSU, 1 mile to Highway 85 and 87, 1 mile to Snell Light Rail Station, 3 miles to Target, Ranch 99 & West Field Oakridge Mall. Grocery store Smart & Final and Blossom Hill & Eagles bus stop are within walking distance. 

A little bit about us: Our family of three occupies the master bedroom. My husband is an engineer and I work in accounting. We are quiet, clean and respectful of others. In our free time, we enjoy gardening, hiking and good coffee. We want to make this house a pleasant place to stay. 

If you are interested, please PM me."
Unknown,"Hello I’m posting this because there has been a lot of scams Me and my Partner almost got scammed today  by this person. I seen their listing and messaged them because I was interested, they send me a video tour and everything and conversted about the room. They then proceeded to give me their landlords information and I messaged them. Everything seemed very legit until they They started changing the group name and asking me questions like “what’s your favorite color” and being very exceeding about when I would fill out the application. I then proceeded to look them up and to surprise they has multiple posts about the same listing on multiple college groups that are not related to SJ."
Supply,"❗️Summer Lease Takeover ❗️

When: June & July 2024
Where: Downtown SJSU (3 blocks from campus) 
Unit: Room (SHARED BATHROOM) 
Cost: $1,120 + utilities (PG&E & water) 
Features: 7-eleven across the street, WiFi covered by landlord, close to campus and grocery stores, washer and dryer onsite, available street parking, portable A/C units, spacious backyard, storage space in basement, and living spaces shared with others in the house. 
Contact for more information!(:"
Supply,"Walk 3-4 blocks to Sjsu. Entire unit available 1 bedroom, 1 bathroom, kitchen and living/dining. Spacious with high ceiling.  Laundry facilities at the back room. 
Painted, remodeled kitchen with new cabinets and flooring. Wood floors on bedroom and living/dining. 1 Parking space plus street permit parking. 

Semifurnished with table, desk, fridge and built in shelf. 

On North 10 st. Corner St John. Small pets ok with pet deposit and cleaning fee. No pet rent. $2200/mo plus utilities.  Available now. 

For in person showings, pls message below and send me pm. Thank you."
Demand,I'm looking for a month -to month or short term lease for a private room. Can move in immediately. Please lmk if you have any leads
Demand,"Hi everyone, I'm looking for a private room with private bath in the North SJ, North Sunnyvale, Milpitas, or south Fremont area. My budget is $1500.
Let me know if you have anything available!"
Unknown,
Unknown,
Supply,"Sublet: The Grad
Hey! I'm looking to sublet my unit ASAP - July 2024
**This is a PRIVATE SINGLE room so only one vacancy**
**LOOKING FOR 1 MALE**
**RENT IS $1695**
**3 male roommates**
**clean and friendly atmosphere**
🌆 Key features:
- D2 Floor Plan on the 13th Floor (4bed/4bath)
-great view of downtown
- single private room + bathroom
- downtown location, 3 minute walk to SJSU
- in-unit washer + dryer
- fully furnished
- facing San Jose State University and the mountains
- fully furnished (bed, storage, desk, and chair)
- utilities included
- wifi included
- 55” television in living room
- Lease end: July 31st, 2024
🏙️ Amenities:
- Gym
- Jacuzzi & pool
- Study rooms
- Gaming room (billiard/foosball)
- Yoga studio
- Garaged safe indoor parking (there are also other garages to pay monthly for parking)
- Grilling stations
- Free printing
📅 Cost:
- Rent is $1695, includes utilities, wifi, and furniture
⁃    Address: 88 E San Carlos, San Jose, CA"
Supply,"Private Room with shared bathroom in Sunnyvale

Rent: 1,150
Security deposit: 1,150
Bills: not included 
Property type: House 
Room: Unfurnished 
Preferred gender: Anyone welcome 
Available: Now preferred move in date March 1st

LGBTQ+ friendly, pet friendly, parking available, internet included, cannabis friendly 

About room:
🏡 Explore the perfect room in Ponderosa Park! This safe, quiet neighborhood offers a commuter-friendly environment with proximity to stores, restaurants, and schools. The 10x12 private room features a spacious closet, with shared access to a well-maintained bathroom and common areas. Enjoy the convenience of in-house Washer and Dryer. The expansive front and back yards are ideal for gardening, boasting citrus trees for homegrown freshness. With quick access to Caltrain, Freeways, and major tech companies, this room is tailored for a comfortable and connected lifestyle. Ample street parking ensures a secure and private living experience. Ideal for working-class individuals of all ages.

About roomies: 👥Welcome to a warm and inviting home shared by three fantastic male roommates! All tech professionals, they bring a friendly and respectful vibe to the living space. Embracing a laid-back atmosphere, these roommates enjoy hanging out together, cooking up delightful meals, playing board games, catching movies, exploring restaurants, and engaging in casual chats. If you’re seeking not just a place to stay, but a community of likeable and sociable individuals, this is the perfect fit for you. Send a message to join this delightful home."
Supply,"I have two fully furnished rooms available within 6 miles from SJSU. 2 minutes walk to the bus or use bike if you do not have car. Rent 1099 plus $126 Utilities which includes Gas Electricity Hot Water, Trash, Sewerage and Internet. You will have all Kitchen, Laundry and High-Speed Internet facilities. Most of major corporations like Nvidia, Intel Applied Materials and many more are within couple miles so is Santa Clara University and Mission college. It is upscale neighborhood and quite peaceful ideal for students to concentrate on their homework. Public transport and major grocery stores like Target, Smart Final Sprouts and Indian grocery at walking distance. To view the property please call.Text Arun at 4089036670.  Address : 2114 Bailey Place, Santa Clara, CA 95050
Intersection Monroes & Scott Blvd.  
I AM ALUMNI OF SJSU WITH MS IN INDUSTRAIL ENGINEERING."
Supply,"🏠Sublet: The Grad

Hey! I'm looking to sublet my unit from June 2024 - July 2024

**This is a DOUBLE so TWO vacancies available in one room** 

**LOOKING FOR 2 MALES** 
**RENT IS $1280 PER PERSON** 

🌆 Key features:
- D1 Floor Plan on the 12th Floor (4bed/4bath) 
-great view of downtown
- double room + bathroom
- downtown location, 3 minute walk to SJSU
- in unit washer + dryer
- fully furnished
- facing San Jose State University and the mountains
- fully furnished (bed, storage, desk, and chair) 
- utilities included
- wifi included
- 55” television in living room
- Lease end: July 31st, 2024

🏙️ Amenities: 
- Gym

- Jacuzzi & pool
- Study rooms
- Gaming room (billiard/foosball)
- Yoga studio 
- Garaged safe indoor parking
- Grilling stations 
- Free printing 

📅 Cost: 
- Rent is $1280, includes utilities, wifi, and furniture 
    ⁃    Address: 88 E San Carlos, San Jose, CA"
Demand,"Hello everyone! I'm going to attend SJSU this fall and I need a room to stay at for a long time, or share a room with someone. My budget is approximately 800, with rent and shared utilities, and I'm planning to move around June/July. I don't smoke, drink alcohol, or do any drugs, and I'm not too picky with pets around. If anybody knows of something similar, please let me know."
Supply,"Private master bedroom with its own bathroom available in a 4 bed/4 bath townhouse, 10 minutes south of campus (near Communication Hill). Only Male students for the room, two of us are currently attending SJSU, and one recently graduated.
* $1150 + utilities
* Available March 1st

It is a temporary lease with the lease ending on May 1st.
* 2-month lease
* In unit washer/dryer
* Bedroom unfurnished besides a desk
* There is a house cat
* Shared common spaces on the 2nd floor
* Attached 2 car garage
* 5 minute drive to target and costco
* 1 minute walk from a park in the neighborhood

If you are interested, please tell me a little about yourself and I am free to answer any questions you have."
Supply,"Private room w/ shared bathroom avaliable 💛
- March 1st avaliable! 
- $1050 + utilities 

Location Willow Glen Area! 10 min from sjsu. 
- 2 dogs, 1 cat 
- friendly housemates 
- shared common spaces"
Supply,"1 or 2 private rooms in 4BR house, Berryessa area of San Jose
Hi, we are looking to fill 1 or 2 private rooms in our 4 bed/3 bath house in the Berryessa area of San Jose. Our lease is expiring in 6 months and we plan to vacate the house at that time. We are located close to 680/280/101, VTA light rail, and BART, and there are many stores and restaurants in the area.
The house has a 3 car garage which will have 1 available spot. The neighborhood is safe so street parking is not an issue. We also have a decent sized back yard/patio with a grill and golf mat/net.
Rent and utilities would be in the range of $1600/mo max (depending on total rooms filled). The three of us who currently live here are 20-30 yr old professionals who work full time (engineering/construction). We have our own friend groups but also hang out from time to time by golfing, watching sports, or going out to the bars.
Please feel free to reach out if you may be interested or want more information.
"
Supply,"Available private bedrooms for Rent. Month to Month or long-term rent. Single female student only. Distance 4.24 miles from San Jose State University.  No pets, no Smoking or any illegal drugs.1.2 Gb Wi-Fi included. Full kitchen access. Cloth Washer and Dryer available in the house. Ample parking on the street and driveway. Close to Library.
Room 1: Rent is $820 + $80 for utilities +$300 security deposit. Share bathroom with other two female students. Room is available now.
Master room: Rent is $1,220 + $80 for utilities + $500 security deposit for single occupied. This room can be shared with two female students. The room rental is $650 + $80 for utilities + $300 security deposit per student. This room is available now.
If interested, please text me at 408-393-4743 – Bob."
Supply,"available! (March 1st)
$1300 for 1 bedroom (Utilities and internet already included)
2 Bedroom 1 Bathroom Rental - South San Jose

Looking for young professionals to rent.
I have a 2 story house with 1 room and 1 shared bath available with a separate entrance and kitchen. Kitchen includes a sink, microwave, and refrigerator. Bedroom has a front street view. No washer and dryer. Rooms are ready to move in for stable, progressive professionals. Plenty of street parking.

As follows:
* Separate private entrance
* Electric & Gas included
* Garbage included
* Water included
* Xfinity WiFi Internet included
* Right next to Oak Grove High School
* Quiet residential area 1 block away from an elementary school.
* 5 Minutes away from Target, Oakridge, Safeway, Lucky’s, CVS
* 5 Min. access to 101, 85, 87
* 7 to 10 Minutes away from Google Silver Creek Sportsplex Shuttle
* 10 minutes away from Walmart shuttle
* No Pets
* No smoking inside the house
* No washer and dryer access

If interested, just message me, and we can set up some viewing time."
Supply,"Hi! We have one room available in a 5-bed/2-bath house on the south side of San Jose. The room is located about 1.5 miles away from SJSU.
We are all SJSU students, so room is only available for MALE students. I am graduating this Spring, 2024, so I would like to transfer my lease, which will end in July 2024. The room will be ready to move in from May.
Room : $850.00 rent with $850 deposit
Room has access to a shared bathroom (3 housemates will share 1 bathroom)
Leasing details:
- 1-year lease
- tenants will be financially responsible for the room starting on 08/01/2024
- utilities (PGE/water/wifi): ~$50-100 depending on the season
Other info:
- in unit washer & dryer
- bedrooms are unfurnished
- beautiful park front of the house
- plenty of street parking
- 10min drive to Costco
If you’re interested, please send me a little bit about yourself and any questions you may have. 

Address : 621 S 22nd st, San Jose, CA, 95116
Thanks"
Supply,"Looking for roommates for a master bedroom at 1,506 and single room at 1,335. It is available now and a few minutes away from SJSU public transportation and a few minutes away from Santana Row; as well as next to the highway. Trash and gardening are included in the rent but PG&E and Wi-Fi are separate. It is currently me and someone else in the house. The master has its own bathroom while the separate room is a shared bathroom. You get your own parking space, area is safe and has a Safeway walking distance. We are are open to anyone just as long as you can pay the rent with no problem
-Shared house with 2 other guys
-Open to couple
Open to long term and short term
Co-Ed friendly but master has its own bathroom
-In unit washer and dryer
-Stove, Oven, Microwave available
-Private Parking space
-Furnished and Well-organized
This charming residence offers the perfect blend of 3 bedrooms and 2 baths. The house features central heating with integrated air vents in every room, ensuring a cozy atmosphere year-round. With a three-car parking space, hardwood, and laminated flooring, this home exudes elegance. Appliances such as a dishwasher, washer and dryer, microwave, range/oven, and refrigerator, are included for your convenience. Enjoy the ease of in-unit laundry and bask in the bright and spacious living room. Revel in the proximity to Safeway and local stores, while a community park just 2 blocks away adds to the allure of this fantastic residence.
Please pm me with info about yourself to get a tour started"
Demand,"Hi me and my roommate are looking for a master or room in the 1,200 range. Would prefer in santa clara/sunnyvale area but open to san jose area"
Supply,"Hello! 

Our home has a room available for rent now!

We are a home of 2 females in our twenties, looking for someone close in age to move in. Looking for a single occupant with no pets who is easy to get along with and is respectful of others and shared spaces. Lease is month to month, but we prefer someone looking to stay for an extended period of time.

The atmosphere at our house is chill and we strive to maintain a clean space to live in 🙂 

About the home:

Monthly rent: $1,033
1 Months security deposit required. 
Utilities are not included. Monthly utilities (water, internet, gas, electricity) come out to about $150.
There is a washer and dryer in our home. Driveway available for parking + street parking available.

If you have any questions or are interested in the room, please send message. Please include a short description about yourself (what you do for work, hobbies, what you’re looking for in housemates, etc.) 😊"
Unknown,"🏠【北聖荷西側臥房出租】拎包入住。带床, 書桌, 椅子, 桌燈。

🏡【地理位置佳】坐落於北聖荷西, 鄰近Milpitas 和 Santa Clara, 室內共三房二浴。

🛌【房间出租】卧房和共用衞生间。全新地板。提供洗衣机, 烘干机。包含高速網路, 水電, 瓦斯, 冷暖氣費用。

🚘【交通便利】
👍 靠近高速公路101, 880, 280
👍 开车几分钟即到各大銀行和商圈
👍 近各式餐厅, 韓國H-Mart, 大華99
👍 近 SJSU 和 Santa Clara University
👍 近各大高科技公司: Google San Jose Campus, Nvidia, Samsung, Cisco, eBay, Foxconn, Taiwan Semi-Conductor, Super Micro, Cadence, KLA-Tencor

👩‍🔧【招租新室友】招灣區上班族或學生。安静, 負責,無不良习惯和不良嗜好。无寵物, 少炊, 不開趴, 无派對, 保持房間和公共区域卫生。不在房内吸烟, 不带异性过夜, 男女不限。希望新室友生活规律, 安静整洁, 好相处。租期彈性,可短租。

💰 【租金】
租金: $1250月租
(包網路, 水電, 瓦斯, 冷暖氣)
押金： 一个月租金
入住： 可馬上拎包入住

📫【联系方式】
歡迎詢問联系看房
邮箱：Sherilin@yahoo.com
微信：Sherilin8
LINE ID: Sherilin88"
Supply,"Hello all, 
I am looking for someone to take over my lease. It's $1240ish and has parking included (can forgo the parking for cheaper rent). It would be a shared bedroom. 2bd 2bath 4 total people. Male only.
Apartment is at 27N just 2 blocks from campus.

 PM for any questions and I'll get back to you as soon as I can."
Supply,"🏠Sublet: The Grad

Hey! I'm looking to sublet my unit from June 2024 - July 2024

**This is a DOUBLE so TWO vacancies available in one room** 

🌆 Key features:
- D1 Floor Plan on the 12th Floor (4bed/4bath) 
-great view of downtown
- double room + bathroom
- downtown location, 3 minute walk to SJSU
- in unit washer + dryer
- fully furnished
- facing San Jose State University and the mountains
- fully furnished (bed, storage, desk, and chair) 
- utilities included
- wifi included
- 55” television in living room
- Lease end: July 31st, 2024

🏙️ Amenities: 
- Gym

- Jacuzzi & pool
- Study rooms
- Gaming room (billiard/foosball)
- Yoga studio 
- Garaged safe indoor parking
- Grilling stations 
- Free printing 

📅 Cost: 
- Rent is $1280, includes utilities, wifi, and furniture 
    ⁃    Address: 88 E San Carlos, San Jose, CA"
Demand,"Hello all,
I am looking for 1Bed and 1 Bath apartment in Sunnyvale or Santa Clara. I am open to sublease or extend the existing lease. 
Please let me know if anyone wants to sublease or rent."
Supply,"Hi All,

There is a private room available for rent in a comfortable 2-bedroom, 1-bathroom apartment located in the prime area of Santa Clara. The lease extends until December 1st, 2024, and the monthly rent is set at a competitive $1180. Move in date would be sometime in March (Flexible).

Situated at 2094 ROYAL Drive, this apartment is just a stone's throw away from the Nvidia campus, offering a quick 4-minute drive for those working there or in the surrounding tech hubs. Commuters will appreciate the easy access to both San Tomas Expressway and Lawrence Expressway.

For those who rely on public transportation, you'll find convenient bus connections along El Camino Real, a brief 5-minute stroll from your doorstep.

Parking is a breeze with one dedicated spot for the apartment, which you can coordinate with your roommate. Plus, there's an abundance of street parking available for guests or additional vehicles.

Daily errands are made easy with a nearby Target and other local amenities to ensure you have everything you need close at hand.

You'll be sharing the space with a 26-year-old professional male who is employed at Nvidia and occupies the second bedroom. He's friendly and respectful, making for a great living environment.

If you're interested or have any questions, please feel free to reach out for more information."
Supply,"Hello, I’m looking for a female roommate who’s interested in renting out 1bed/1bath in a 2bed/2bath furnished apartment with a TV , kitchen appliances, sofa sets in the living and outdoor patio furniture in Fremont, CA (near Fremont Bart station) I’m looking for someone who is clean, organised and friendly. 

The address is 39241 Redhawk Terrace, Fremont CA. 

The rent is $1700 and the security deposit is $1700. The utilities and wifi will be additional charges to the rent. Parking space with the apartment building is available. The building is walking distance to the BART. 

If interested and need further information and photos. please contact me."
Supply,"Luxury New Built ADU, single family like home at convenient location. Approx. 980 sqft, 2 bedrooms, 2 bath with a den, den can be used as 3rd bedroom.
Open floorplan for kitchen and dining area.  9 and 10 Feel High Ceiling. Bright inside. Private Back Year. All brand New Appliances(Range, Refrigerator, Dish Washer, Washer, Dryer)
Solar Panel.  Street Parking. No Pet.
Monthly Rent: $3300 Term: 1 Year
Deposit $3500  Water: $90 Sewer:$90
Welcome Home Tour."
Supply,"Renting 1b1b in a 2b2b apartment in Santa Clara

Hi, 
I am looking for a nice roommate to fill 1b1b in my 2b2b apartment at the Bella Vista Apartments near Lick Mill Blvd in Santa Clara.

I am open to renting out either the master bedroom or the other private bedroom. Depending upon which bedroom you would like to take, I will occupy the other bedroom.

Master bedroom rent: $1575
Other bedroom rent: $1425
Utilities: $150 per person (appx.)
Move in date: Feb 1 or ASAP
Lease duration: 12 months

More details are available in the listing on the marketplace here:
 https://www.facebook.com/marketplace/item/1321626481832455/?mibextid=dXMIcH

If interested, leave a message here or directly inbox me."
Supply,"available! (March 1st)
$1300 for 1 bedroom (Utilities and internet already included)
2 Bedroom 1 Bathroom Rental - South San Jose

Looking for young professionals to rent.
I have a 2 story house with 1 room and 1 shared bath available with a separate entrance and kitchen. Kitchen includes a sink, microwave, and refrigerator. Bedroom has a front street view. No washer and dryer. Rooms are ready to move in for stable, progressive professionals. Plenty of street parking.

As follows:
* Separate private entrance
* Electric & Gas included
* Garbage included
* Water included
* Xfinity WiFi Internet included
* Right next to Oak Grove High School
* Quiet residential area 1 block away from an elementary school.
* 5 Minutes away from Target, Oakridge, Safeway, Lucky’s, CVS
* 5 Min. access to 101, 85, 87
* 7 to 10 Minutes away from Google Silver Creek Sportsplex Shuttle
* 10 minutes away from Walmart shuttle
* No Pets
* No smoking inside the house
* No washer and dryer access

If interested, just message me, and we can set up some viewing time."
Supply,"I have a master for 1,506 and single room for 1,335 available for a year long stay. It is a house and open to people moving in as long as you are clean"
Supply,"Spacious Bedroom with Private Attached Bathroom in a 2b2b is available for Lease Transfer in Cupertino from now-Nov 15 🍏
- Rent : 1900 per month + utilities (internet & pge)

My roommate is moving out and I have a room available for lease. 
About me- 
Male In my mid 20s work in tech, pretty outgoing and would love to be friends with my roommate. Go gym, play tennis, guitar and go out in my free time. Pretty chill about everything. 

🛌 Bedroom Features:
- Spacious (13' x 13') and well-lit bedroom.
- Private attached bathroom for your convenience.
- Huge walk-in closet for all your storage needs.
🏠 Apartment Highlights:
- Luxurious apartment (1237 sq ft) with in house washer and dryer.
- Centrally Air conditioned. All modern appliances (Induction Cooktop, dishwasher, microwave oven and fridge)
- Prime location near Apple Park with close connection to I-280, making your daily commute to Sunnyvale, Mountain view, Santa Clara and San Jose a breeze (All under 10 mins).
- Modern amenities (Gym, Swimming pool, Jacuzzi)and a comfortable living space.
- Friendly and community-oriented neighborhood (Ariosso Apartments).
- Situated right by the Cupertino Village (housing groceries and numerous Asian eateries)

About me- 

🚗 Parking Bonus:
- Free basement assigned covered parking included for free!
📅 Lease Details:
- Lease transfer opportunity.
- Available for move-in from Feb 1. Lease goes until Nov 15.
- Rent : 1900 per month + utilities (internet & pge)
- No Security deposit required"
